,precision,recall,f1-score,support
aurora watching,0.0,0.0,0.0,1.0
boat tour,0.0,0.0,0.0,1.0
boating,0.0,0.0,0.0,1.0
camel riding,0.0,0.0,0.0,1.0
camping,0.0,0.0,0.0,1.0
city exploration,0.0,0.0,0.0,1.0
city exploring,0.0,0.0,0.0,1.0
cultural visit,0.0,0.0,0.0,1.0
exploring,0.25,0.2,0.2222222222222222,5.0
hiking,0.34615384615384615,0.47368421052631576,0.4,19.0
nan,0.2727272727272727,0.5,0.35294117647058826,6.0
no activity,0.0,0.0,0.0,1.0
photography,0.0,0.0,0.0,1.0
pilgrimage,0.5,1.0,0.6666666666666666,1.0
praying,0.0,0.0,0.0,2.0
relaxing,0.6521739130434783,0.4838709677419355,0.5555555555555556,31.0
shopping,0.0,0.0,0.0,1.0
sightseeing,0.6442307692307693,0.6633663366336634,0.6536585365853659,101.0
skiing,0.0,0.0,0.0,1.0
skydiving,0.0,0.0,0.0,1.0
swimming,0.0,0.0,0.0,1.0
urban exploration,0.0,0.0,0.0,1.0
walking,0.0,0.0,0.0,3.0
wandering,0.0,0.0,0.0,1.0
worship,0.0,0.0,0.0,1.0
accuracy,0.518918918918919,0.518918918918919,0.518918918918919,0.518918918918919
macro avg,0.10661143204621465,0.13283686059607658,0.11404176630001596,185.0
weighted avg,0.5148539768104986,0.518918918918919,0.5120927527240297,185.0
