,precision,recall,f1-score,support
aurora watching,0.0,0.0,0.0,1.0
boat tour,0.0,0.0,0.0,1.0
boating,0.0,0.0,0.0,1.0
camel riding,0.0,0.0,0.0,1.0
camping,0.0,0.0,0.0,1.0
city exploration,0.0,0.0,0.0,1.0
city exploring,0.0,0.0,0.0,1.0
cultural visit,0.0,0.0,0.0,1.0
exploring,0.0,0.0,0.0,5.0
hiking,0.6,0.47368421052631576,0.5294117647058824,19.0
nan,0.5,0.16666666666666666,0.25,6.0
no activity,0.0,0.0,0.0,1.0
photography,0.0,0.0,0.0,1.0
pilgrimage,0.0,0.0,0.0,1.0
praying,0.0,0.0,0.0,2.0
relaxing,0.5161290322580645,0.5161290322580645,0.5161290322580645,31.0
shopping,0.0,0.0,0.0,1.0
sightseeing,0.6518518518518519,0.8712871287128713,0.7457627118644068,101.0
skiing,0.0,0.0,0.0,1.0
skydiving,0.0,0.0,0.0,1.0
swimming,0.0,0.0,0.0,1.0
urban exploration,0.0,0.0,0.0,1.0
walking,0.0,0.0,0.0,3.0
wandering,0.0,0.0,0.0,1.0
worship,0.0,0.0,0.0,1.0
accuracy,0.6162162162162163,0.6162162162162163,0.6162162162162163,0.6162162162162163
macro avg,0.09071923536439666,0.08111068152655672,0.08165214035313414,185.0
weighted avg,0.5202002002002003,0.6162162162162163,0.5561127428525235,185.0
