,precision,recall,f1-score,support
aurora watching,0.0,0.0,0.0,1.0
boat tour,0.0,0.0,0.0,1.0
boating,0.0,0.0,0.0,1.0
camel riding,0.0,0.0,0.0,1.0
camping,0.0,0.0,0.0,1.0
city exploration,0.0,0.0,0.0,1.0
city exploring,0.0,0.0,0.0,1.0
cultural visit,0.0,0.0,0.0,1.0
exploring,0.0,0.0,0.0,5.0
hiking,0.6666666666666666,0.10526315789473684,0.18181818181818182,19.0
nan,0.0,0.0,0.0,6.0
no activity,0.0,0.0,0.0,1.0
photography,0.0,0.0,0.0,1.0
pilgrimage,0.0,0.0,0.0,1.0
praying,0.0,0.0,0.0,2.0
relaxing,0.6923076923076923,0.2903225806451613,0.4090909090909091,31.0
shopping,0.0,0.0,0.0,1.0
sightseeing,0.5798816568047337,0.9702970297029703,0.725925925925926,101.0
skiing,0.0,0.0,0.0,1.0
skydiving,0.0,0.0,0.0,1.0
swimming,0.0,0.0,0.0,1.0
urban exploration,0.0,0.0,0.0,1.0
walking,0.0,0.0,0.0,3.0
wandering,0.0,0.0,0.0,1.0
worship,0.0,0.0,0.0,1.0
accuracy,0.5891891891891892,0.5891891891891892,0.5891891891891892,0.5891891891891892
macro avg,0.0775542406311637,0.05463531072971473,0.05267340067340068,185.0
weighted avg,0.5010608241377472,0.5891891891891892,0.4835399035399036,185.0
