description,true_activity,pred_activity
a peaceful nature view with green valleys and mountains,relaxing,sightseeing
vibrant coral reefs teeming with underwater life,swimming,sightseeing
a quiet camping spot in dahab s desert mountains i chose it because it feels peaceful and grounding,camping,sightseeing
beachfront at costa teguise in north lanzarote with soft morning light on the shore,relaxing,sightseeing
is one of the most breathtaking cathedrals in the world a masterpiece that instantly captures your attention with its incredible detail and towering beauty covered in delicate spires statues and marble carvings the cathedral looks almost like a sculpture rising toward the sky its gothic architecture is both dramatic and elegant making it the true heart of milan what makes the duomo especially unforgettable is the experience of standing in front of it the square around it feels alive and the cathedrals massive size and shimmering white marble create a sense of awe inside the tall pillars stained glass windows and peaceful atmosphere offer a moment of calm and reflection and if youve been to the rooftop you know how magical it is walking between the spires and seeing all of milan from above feels like stepping into another world the duomo is not just a landmark its a place that stays with you long after you leave,sightseeing,hiking
a beautiful autumn scene in tbilisi with golden trees lining the river and the modern bridge of peace in the background the soft sunlight and colorful leaves make the place look warm and cozy,walking,sightseeing
mount fuji iconic volcanic mountain with popular hiking trails to the summit,hiking,sightseeing
a colorful narrow mediterranean street lined with outdoor cafe tables blue awnings i chose this place because it looks peaceful warm and inviting a perfect spot to relax and explore,relaxing,nan
golden sunset over ha long bay cliffs,sightseeing,relaxing
a bright skyline featuring tokyo tower surrounded by dense clusters of modern buildings,urban exploration,sightseeing
a magical sunset over santorini cliffside village of oia with glowing lights white houses and deep blue seas,sightseeing,relaxing
beautiful nature with magical waterfall it makes me feel happy hiking on these mountains especielly at sunset,hiking,relaxing
the pyramids in egypt are an incredible architectural masterpiece and i chose this place because i would love to see it in real life,sightseeing,boating
al aqsa mosque a sacred and historical islamic site,sightseeing,praying
the famous treasury carved into the red sandstone rock face,hiking,sightseeing
a peaceful view of the dome of the rock in jerusalem with flocks of pigeons surrounding the courtyard i chose this place because it holds deep spiritual and historical significance and offers a serene atmosphere,sightseeing,praying
northern lights over troms chosen because watching the aurora is a dream experience,relaxing,sightseeing
